model,storage,max,min,fingerprint,market
iPhone SE,16,32000,3000,8000,64990
iPhone SE,32,37000,3000,10000,74990
iPhone SE,64,42000,3000,11000,84990
iPhone SE,128,47000,3000,12000,94990
iPhone 6,16,44000,3000,11000,89990
iPhone 6,32,49000,3000,13000,99990
iPhone 6,64,59000,3000,15000,119990
iPhone 6,128,69000,3000,18000,139990
iPhone 6 PLUS,16,54000,5000,14000,109990
iPhone 6 PLUS,32,59000,5000,15000,119990
iPhone 6 PLUS,64,69000,5000,18000,139990
iPhone 6 PLUS,128,79000,5000,20000,159990
iPhone 6S,16,54000,6000,14000,109990
iPhone 6S,32,59000,6000,15000,119990
iPhone 6S,64,69000,6000,18000,139990
iPhone 6S,128,79000,6000,20000,159990
iPhone 6S PLUS,16,64000,7000,16000,149990
iPhone 6S PLUS,32,69000,7000,18000,209990
iPhone 6S PLUS,64,79000,7000,20000,229990
iPhone 6S PLUS,128,89000,7000,23000,249990
iPhone 7,32,119000,9000,0,229990
iPhone 7,128,149000,9000,0,259990
iPhone 7,256,179000,9000,0,299990
iPhone 7 PLUS,32,173000,12000,0,229990
iPhone 7 PLUS,128,209000,12000,0,259990
iPhone 7 PLUS,256,239000,12000,0,299990
iPhone 8,64,209000,15000,0,349990
iPhone 8,256,245000,15000,0,409990
iPhone 8 PLUS,64,233000,20000,0,429990
iPhone 8 PLUS,256,269000,20000,0,449990
iPhone X,64,287000,25000,0,499990
iPhone X,256,317000,25000,0,529990
iPhone XR,64,275000,23000,0,499990
iPhone XR,128,341000,23000,0,569990
iPhone XR,256,389000,23000,0,649990
iPhone XS,64,389000,30000,0,599990
iPhone XS MAX,64,479000,35000,0,749990
