model,screen,battery,charger,home,backcam,frontcam,earspeaker,loudspeaker,glass,chassis,motherboard,workforce
iPhone SE,19990,19990,16990,16990,16990,16990,16990,16990,0,24990,49990,10000
iPhone 6,24990,19990,19990,16990,16990,16990,16990,16990,0,24990,44990,10000
iPhone 6 PLUS,29990,22990,19990,17990,17990,17990,17990,17990,0,27990,49990,10000
iPhone 6S,29990,22990,19990,17990,22990,17990,17990,17990,0,27990,49990,10000
iPhone 6S PLUS,29990,24990,19990,18990,24990,18990,18990,18990,0,29990,54990,10000
iPhone 7,34990,24990,19990,59990,44990,24990,24990,24990,0,39990,59990,10000
iPhone 7 PLUS,44990,29990,21990,64990,69990,27990,27990,27990,0,49990,64990,10000
iPhone 8,49990,29990,24990,69990,59990,34990,29990,29990,34990,69990,69990,15000
iPhone 8 PLUS,54990,34990,27990,74990,89990,39990,34990,34990,39990,79990,74990,15000
iPhone X,139990,49990,34990,0,119990,49990,39990,39990,44990,99990,89990,15000
iPhone XR,149990,49990,39990,0,99990,49990,39990,39990,44990,99990,89990,15000
