defect,description,translation
screen,Falla de pantalla (puede ser placa madre),Pantalla
battery,Batería en mal estado,Batería
charger,No carga el teléfono,Puerto de carga
home,Falla el botón de inicio,Botón Home
backcam,Cámara trasera en mal estado,Cámara trasera
frontcam,Cámara frontal en mal estado,Cámara frontal
earspeaker,Falla el auricular (se escuchan mal las llamadas),Auricular
loudspeaker,Parlante defectuoso,Parlante
glass,Pantalla trizada,Vidrio
chassis,Está abollado o roto en la parte trasera,Chasis
motherboard,La placa madre está mala,Placa madre
